ID,StimSet,StimNumber,Duration.s,Species,FamUnfam
P192P193,A2,5,2.87,ZEBI,Father
DB22P31,A2,2,2.15,BEFI,FosterFather
ALP47,A2,1,1.36,ZEBI,Unfamiliar
BR90,A2,4,1.34,BEFI,Unfamiliar
WN,A2,3,1.7,WN,WN
P192P193,A3,5,2.87,ZEBI,Father
WN,A3,3,1.7,WN,WN
LP74,A3,2,1.32,ZEBI,Unfamiliar
LP80,A3,1,1.37,BEFI,Unfamiliar
BR90,A3,4,1.34,BEFI,Unfamiliar
P192P193,A4,5,2.87,ZEBI,Father
WN,A4,3,1.7,WN,WN
LP75,A4,1,1.46,ZEBI,Unfamiliar
PU81,A4,4,1.99,BEFI,Unfamiliar
DB10,A4,2,1.84,BEFI,Unfamiliar
P192P193,A5,5,2.87,ZEBI,Father
WN,A5,4,1.7,WN,WN
LP85,A5,3,1.41,ZEBI,Unfamiliar
YE77,A5,1,1.4,BEFI,Unfamiliar
LP80,A5,2,1.37,BEFI,Unfamiliar
GN81GN82,C1,5,1.5,ZEBI,Father
DB22P31,C1,2,2.15,BEFI,FosterFather
ALP47,C1,1,1.36,ZEBI,Unfamiliar
YE77,C1,4,1.4,BEFI,Unfamiliar
WN,C1,3,1.7,WN,WN
APU170,C12,1,1.36,ZEBI,Unfamiliar
BEFI1,C12,2,2.5,BEFI,Unfamiliar
PU81,C12,3,1.99,BEFI,Unfamiliar
WN,C12,4,1.7,WN,WN
GY43GN194,C12,5,1.45,ZEBI,Unfamiliar
GN81GN82,C2,3,1.5,ZEBI,Father
GY43GN194,C2,4,1.45,ZEBI,Unfamiliar
PU81,C2,2,1.99,BEFI,Unfamiliar
LP80,C2,1,1.37,BEFI,Unfamiliar
GN81GN82,C22,4,1.5,ZEBI,Father
WN,C22,3,1.7,WN,WN
GY43GN194,C22,5,1.45,ZEBI,Unfamiliar
PU81,C22,2,1.99,BEFI,Unfamiliar
LP80,C22,1,1.37,BEFI,Unfamiliar
GN81GN82,C4,4,1.5,ZEBI,Father
DB22P31,C4,2,2.15,BEFI,FosterFather
GY43GN194,C4,5,1.45,ZEBI,Unfamiliar
BEFI1,C4,1,2.5,BEFI,Unfamiliar
WN,C4,3,1.7,WN,WN
ALP47,D1,1,1.36,ZEBI,Unfamiliar
BEFI1,D1,2,2.5,BEFI,Unfamiliar
PU81,D1,3,1.99,BEFI,Unfamiliar
WN,D1,4,1.7,WN,WN
W320O266,D1,5,1.38,ZEBI,Father
APU170,D4,1,1.36,ZEBI,Unfamiliar
BF05,D4,2,1.55,BEFI,Unfamiliar
WN,D4,3,1.7,WN,WN
YE77,D4,4,1.4,BEFI,Unfamiliar
W320O266,D4,5,1.38,ZEBI,Father
BR90,D5,1,1.34,BEFI,Unfamiliar
DB10,D5,2,1.84,BEFI,Unfamiliar
LP74,D5,3,1.32,ZEBI,Unfamiliar
WN,D5,4,1.7,WN,WN
W320O266,D5,5,1.38,ZEBI,Father
BF05,F1,1,1.55,BEFI,Unfamiliar
WN,F1,2,1.7,WN,WN
YE77,F1,3,1.4,BEFI,Unfamiliar
Brown71,F1,4,1.49,ZEBI,Father
GN81GN82,F1,5,1.5,ZEBI,Unfamiliar
BF01,F2,1,1.72,BEFI,Unfamiliar
LP80,F2,2,1.37,BEFI,Unfamiliar
WN,F2,3,1.7,WN,WN
Brown71,F2,4,1.49,ZEBI,Father
GreyLeft,F2,5,1.18,ZEBI,Unfamiliar
BlueLeft,F3,1,1.45,BEFI,Unfamiliar
BF02,F3,2,1.8,BEFI,Unfamiliar
WN,F3,3,1.7,WN,WN
Brown71,F3,4,1.49,ZEBI,Father
GY43GN194,F3,5,1.45,ZEBI,Unfamiliar
APU170,G1,1,1.36,ZEBI,Unfamiliar
DB22P31,G1,2,2.15,BEFI,FosterFather
BF01,G1,3,1.72,BEFI,Unfamiliar
LP85,G1,4,1.41,ZEBI,Unfamiliar
WN,G1,5,1.7,WN,WN
DB22P31,G2,1,2.15,BEFI,FosterFather
BF02,G2,2,1.8,BEFI,Unfamiliar
WN,G2,3,1.7,WN,WN
GreyLeft,G2,4,1.18,ZEBI,Unfamiliar
W320O266,G2,5,1.38,ZEBI,Unfamiliar
DB22P31,G3,1,2.15,BEFI,FosterFather
BF05,G3,2,1.55,BEFI,Unfamiliar
WN,G3,3,1.7,WN,WN
GN81GN82,G3,4,1.5,ZEBI,Unfamiliar
P192P193,G3,5,2.87,ZEBI,Unfamiliar
DB22P31,B3,2,2.15,BEFI,Father
WN,B3,5,1.7,WN,WN
P192P193,B3,3,2.87,ZEBI,Unfamiliar
DB10,B3,1,1.84,BEFI,Unfamiliar
APU170,B3,4,1.36,ZEBI,Unfamiliar
DB22P31,B4,1,2.15,BEFI,Father
WN,B4,4,1.7,WN,WN
LP74,B4,2,1.32,ZEBI,Unfamiliar
YE77,B4,5,1.4,BEFI,Unfamiliar
LP85,B4,3,1.41,ZEBI,Unfamiliar
