ID,Clutch,Treatment,Age,DaysPostFledge,Mass,Date,No_reps,Hemisphere,Region,Depth,Trial,Letter,ISI check,Peak_V,Trough_V,Peak to Peak_s,Type,Quality,Exclude4PC,TroughBeforePeak,Notes
A2,A,xfostered,23,2,9.6,5/22/21,15,R,FL,1.12,1,A,x,-0.979,0.39,0.000479999,,Good,Y,N,Inverted but beautiful
A2,A,xfostered,23,2,9.6,5/22/21,15,R,FL,1.12,1,B,x,0.931,0,0.0032,,Bad,Y,N,ISI and PSTH look good but shape is gross; fat with no hyperpolarization
A2,A,xfostered,23,2,9.6,5/22/21,15,R,NCM,1.14,1,A,x,0.4347,-0.131,0.000179999,,Good,Y,N,
A2,A,xfostered,23,2,9.6,5/22/21,15,R,NCM,1.24,2,A,x,0.3594,0.0343,0.000899996,,Good,N,N,
A2,A,xfostered,23,2,9.6,5/22/21,15,R,NCM,1.24,2,B,x,-0.3945,0.0247,0.001259966,,Good,N,N,Inverted; might not be auditory
A2,A,xfostered,23,2,9.6,5/22/21,15,R,FL,1.22,2,A,x,-0.774,0.001,0.000240002,,Good,N,N,Inverted
A2,A,xfostered,23,2,9.6,5/22/21,15,R,FL,1.22,2,B,x,0.733,0.06,0.001020065,,Good,N,N,
A2,A,xfostered,23,2,9.6,5/22/21,15,R,NCM,1.44,3,A,x,-0.254,0.0005,0.001320005,,Bad,N,N,Inverted
A2,A,xfostered,23,2,9.6,5/22/21,15,R,NCM,1.44,3,B,x,0.2604,-0.0164,0.001259995,,Bad,N,N,
A2,A,xfostered,23,2,9.6,5/22/21,15,R,FL,1.38,3,A,x,0.692,-0.159,0.00018,,Good,N,Y,Trough before peak
A2,A,xfostered,23,2,9.6,5/22/21,20,R,NCM,1.49,4,A,x,0.2154,-0.0119,0.001200033,,Bad,N,N,
A2,A,xfostered,23,2,9.6,5/22/21,20,R,FL,1.47,4,A,x,-0.755,0.29,0.000180001,,Good,N,N,Inverted
A2,A,xfostered,23,2,9.6,5/22/21,15,L,FL,1.39,5,A,x,0.672,-0.201,0.000179998,,Good,N,N,Higher peak was after lower peak
A2,A,xfostered,23,2,9.6,5/22/21,15,L,FL,1.39,5,B,x,-0.85,0.357,0.000120009,,Good,N,N,Inverted
A2,A,xfostered,23,2,9.6,5/22/21,15,L,NCM,1.02,6,A,x,0.26941,-0.04681,0.000479849,,Good,N,N,
A2,A,xfostered,23,2,9.6,5/22/21,15,L,FL,1.44,6,A,x,0.7,-0.042,0.001259771,,Good,N,N,
A2,A,xfostered,23,2,9.6,5/22/21,15,L,FL,1.44,6,B,x,-0.865,0.114,0.001019992,,Good,N,N,Inverted
A2,A,xfostered,23,2,9.6,5/22/21,15,L,NCM,0.97,7,A,x,0.28998,-0.04797,0.000839939,,Bad,N,N,
A2,A,xfostered,23,2,9.6,5/22/21,15,L,FL,1.54,7,A,x,0.772,-0.03,0.001259961,,Bad,N,N,
A2,A,xfostered,23,2,9.6,5/22/21,15,L,FL,1.54,7,B,x,-1.054,0.157,0.000359963,,Bad,N,N,Inverted
A3,A,normal,20,3,11.7,5/16/21,15,L,NCM,1,1,A,x,0.3605,-0.0821,0.000360008,,Good,N,N,
A3,A,normal,20,3,11.7,5/16/21,15,L,FL,1.73,1,A,x,-0.535,0.244,0.00018,,Good,N,N,Drifted into the spot so first presentations not great
A3,A,normal,20,3,11.7,5/16/21,15,L,NCM,1.1,2,A,x,0.637,-0.392,0.000180003,,Good,N,N,"Only 1st half of trial are these measurements (second half peak, trough , p2p = 0.4866V, -0.193V, 0.000179996s)"
A3,A,normal,20,3,11.7,5/16/21,15,L,FL,1.79,2,A,x,-1.041,0.135,0.001019988,,Good,N,N,Inverted
A3,A,normal,20,3,11.7,5/16/21,20,L,NCM,1.2,3,A,x,0.3667,-0.0511,0.000420005,,Good,N,N,
A3,A,normal,20,3,11.7,5/16/21,20,L,FL,1.64,3,A,ok,-0.717,0.313,0.00018,,Bad,N,N,Inverted; Low S:N
A3,A,normal,20,3,11.7,5/16/21,20,L,NCM,1.3,4,A,x,0.3437,-0.0586,0.00024,,Good,N,N,
A3,A,normal,20,3,11.7,5/16/21,20,L,FL,1.49,4,A,x,-0.942,0.161,0.000420001,,Good,N,N,Inverted
A4,A,normal,21,4,12,5/17/21,20,R,NCM,1.06,1,A,x,0.6942,0.0843,0.000240001,,Bad,N,N,Weird double peak
A4,A,normal,21,4,12,5/17/21,20,R,NCM,1.06,1,B,x,-0.832,0.002,0.001,,Bad,N,N,"Inverted, horrible shape"
A4,A,normal,21,4,12,5/17/21,20,R,FL,1.1,1,A,x,-1.23,0.093,0.000180029,,Bad,Y,N,Inverted with double depolarization peak; Loose spot a bit after 45 presentations
A4,A,normal,21,4,12,5/17/21,20,R,NCM,1.15,2,A,x,0.5782,-0.0198,0.0012,,Good,N,N,
A4,A,normal,21,4,12,5/17/21,20,R,NCM,1.15,2,B,ok,-0.6011,0.0004,0.001619,,Bad,N,N,"Inverted, horrible shape"
A4,A,normal,21,4,12,5/17/21,20,R,FL,1.2,2,A,ok?,-0.6039,0.0089,0.00018,,Bad,N,Y,"Double peaked, low S:N"
A4,A,normal,21,4,12,5/17/21,20,R,NCM,1.25,3,A,x,0.5946,-0.0333,0.00042,,Good,N,N,
