"Unit2","Stimulus","ID.x","Region","Trial","Letter","StimSet","base_fr","stim_fr","basesd","stimsd","Z_score","stimID","Duration.s","FamUnfamSpecies","Species","FamUnfam","Clutch","Treatment","Age","DaysPostFledge","Mass","Date","No_reps","Hemisphere","Depth","ISI.check","Peak_V","Trough_V","Peak.to.Peak_s","Type","Quality","Exclude4PC","TroughBeforePeak","Notes","Accuracy.rcorr","Accuracy.count","Accuracy.cross_corr","normal_rcorr","normal_count","normal_cross_corr","Latency","p.value","sigYN","Peak2PeakRatio","Type0","TypeBN","TypeFL","RS_befi","pop_var_befi","RS_zebi","pop_var_zebi","dprime"
"A2_FL_TRIAL1_A",4,"A2","FL",1,"A","A2",3.846153846,5.338691159,2.511511957,2.235614512,0.526556025,"BR90",1.34,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","xfostered",23,2,9.6,"5/22/21",15,"R",1.12,"x",-0.979,0.39,0.000479999,NA,"Good","Y","N","Inverted but beautiful",0.273777778,0.319444444,0.305555556,0.073777778,0.119444444,0.105555556,0.115,0.167724609,"N",0.398365679,"Field L","Field L","Broad",1.492537313,8.21927103508971,2.917112299,7.5702765292035,0.717018674839538
"A2_FL_TRIAL1_B",4,"A2","FL",1,"B","A2",2.307692308,5.970149253,1.182131929,2.953816439,1.286853416,"BR90",1.34,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","xfostered",23,2,9.6,"5/22/21",15,"R",1.12,"x",0.931,0,0.0032,NA,"Bad","Y","N","ISI and PSTH look good but shape is gross; fat with no hyperpolarization",0.554333333,0.120222222,0.530777778,0.354333333,-0.079777778,0.330777778,0.025,0.004154489,"Y",0,"Field L","Field L","Broad",3.662456945,8.19571048450921,2.874331551,3.24144242068521,-0.466086316574017
"A2_FL_TRIAL2_A",4,"A2","FL",2,"A","A2",5.333333333,23.13432836,2.964435661,5.011176477,4.931675475,"BR90",1.34,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","xfostered",23,2,9.6,"5/22/21",15,"R",1.22,"x",-0.774,0.001,0.000240002,NA,"Good","N","N","Inverted",0.881125,0.5875,0.775375,0.681125,0.3875,0.575375,0.015,0.000488281,"Y",0.00129199,"Field L","Field L","Narrow",17.800995027,14.5324992000491,12.33193277,21.426647125632,-1.82405603767932
"A2_FL_TRIAL2_B",4,"A2","FL",2,"B","A2",2.833333333,19.52736318,2.367712104,4.520748046,5.318579829,"BR90",1.34,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","xfostered",23,2,9.6,"5/22/21",15,"R",1.22,"x",0.733,0.06,0.001020065,NA,"Good","N","N","",0.783875,0.30075,0.695625,0.583875,0.10075,0.495625,0.01,0.002516497,"Y",0.081855389,"Field L","Field L","Broad",16.694029847,11.0205502410949,8.838235296,17.350809439568,-2.94971487229835
"A2_FL_TRIAL3_A",4,"A2","FL",3,"A","A2",0.785714286,10.12793177,1.121713759,2.530115503,4.580216583,"BR90",1.34,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","xfostered",23,2,9.6,"5/22/21",15,"R",1.38,"x",0.692,-0.159,0.00018,NA,"Good","N","Y","Trough before peak",0.619666667,0.302888889,0.569666667,0.419666667,0.102888889,0.369666667,0.01,0.001087736,"Y",0.229768786,"Field L","Field L","Narrow",9.342217484,4.37120785138172,7.794117647,4.70575877128868,-1.02768162487003
"A2_FL_TRIAL4_A",4,"A2","FL",4,"A","A2",3,11.64179104,1.946657054,3.056874137,2.816600709,"BR90",1.34,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","xfostered",23,2,9.6,"5/22/21",20,"R",1.47,"x",-0.755,0.29,0.000180001,NA,"Good","N","N","Inverted",0.6125,0.361333333,0.528833333,0.4125,0.161333333,0.328833333,0.04,9.54e-05,"Y",0.38410596,"Field L","Field L","Narrow",8.64179104,9.5668077489047,6.818885444,16.8445877971369,-0.709411948768517
"A2_FL_TRIAL5_A",4,"A2","FL",5,"A","A2",2.333333333,13.93034826,2.023669463,4.170973917,3.560868326,"BR90",1.34,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","xfostered",23,2,9.6,"5/22/21",15,"L",1.39,"x",0.672,-0.201,0.000179998,NA,"Good","N","N","Higher peak was after lower peak",0.423727273,0.314181818,0.348363636,0.223727273,0.114181818,0.148363636,0.01,0.000724715,"Y",0.299107143,"Field L","Field L","Narrow",11.597014927,11.2368901741655,10.151260501,13.7014158608251,-0.579016648365874
"A2_FL_TRIAL5_B",4,"A2","FL",5,"B","A2",1.866666667,16.46766169,1.684664726,7.427779054,2.256522557,"BR90",1.34,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","xfostered",23,2,9.6,"5/22/21",15,"L",1.39,"x",-0.85,0.357,0.000120009,NA,"Good","N","N","Inverted",0.734363636,0.596272727,0.630363636,0.534363636,0.396272727,0.430363636,0.03,6.1e-05,"Y",0.42,"Field L","Field L","Narrow",14.600995023,42.6866107196929,11.460084037,17.2237527321404,-0.811586187504471
"A2_FL_TRIAL6_A",4,"A2","FL",6,"A","A2",4.666666667,9.004975124,3.177300441,2.561447164,1.083110983,"BR90",1.34,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","xfostered",23,2,9.6,"5/22/21",15,"L",1.44,"x",0.7,-0.042,0.001259771,NA,"Good","N","N","",0.536636364,0.253545455,0.505818182,0.336636364,0.053545455,0.305818182,0.04,0.002624512,"Y",0.06,"Field L","Field L","Broad",4.338308457,16.0101779654076,3.502262443,10.5936201158718,-0.324181595103449
"A2_FL_TRIAL6_B",4,"A2","FL",6,"B","A2",4.066666667,6.417910448,3.731462116,3.782169825,0.622703316,"BR90",1.34,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","xfostered",23,2,9.6,"5/22/21",15,"L",1.44,"x",-0.865,0.114,0.001019992,NA,"Good","N","N","Inverted",0.334454545,0.285272727,0.241636364,0.134454545,0.085272727,0.041636364,0.02,0.055358887,"N",0.131791908,"Field L","Field L","Broad",2.351243781,15.0631281391655,1.590497737,14.3238570013193,-0.280667535780442
