Unit2,Stimulus,ID.x,Region,Trial,Letter,StimSet,base_fr,stim_fr,basesd,stimsd,Z_score,stimID,Duration.s,FamUnfamSpecies,Species,FamUnfam,Clutch,Treatment,Age,DaysPostFledge,Mass,Date,No_reps,Hemisphere,Depth,ISI.check,Peak_V,Trough_V,Peak.to.Peak_s,Type,Quality,Exclude4PC,TroughBeforePeak,Notes,Accuracy.rcorr,Accuracy.count,Accuracy.cross_corr,normal_rcorr,normal_count,normal_cross_corr,Latency,p.value,sigYN,Peak2PeakRatio,Type0,TypeBN,TypeFL,RS_WN,pop_var_WN
A2_FL_TRIAL1_A,3,A2,FL,1,A,A2,4.5,5.411764706,2.592724864,1.380926812,0.296352427,WN,1.7,WN_WN,WN,WN,A,xfostered,23,2,9.6,5/22/21,15,R,1.12,x,-0.979,0.39,0.000479999,NA,Good,Y,N,Inverted but beautiful,0.173777778,0.171444444,0.165777778,-0.026222222,-0.028555556,-0.034222222,0.01,0.385652987,N,0.398365679,Field L,Field L,Broad,0.911764706,9.295674739
A2_FL_TRIAL1_B,3,A2,FL,1,B,A2,2.1,3.05882353,1.286683938,1.488130664,0.580848176,WN,1.7,WN_WN,WN,WN,A,xfostered,23,2,9.6,5/22/21,15,R,1.12,x,0.931,0,0.0032,NA,Bad,Y,N,ISI and PSTH look good but shape is gross; fat with no hyperpolarization,0.209111111,0.390777778,0.303555556,0.009111111,0.190777778,0.103555556,0.015,0.16015625,N,0,Field L,Field L,Broad,0.95882353,2.800726644
A2_FL_TRIAL2_A,3,A2,FL,2,A,A2,5.076923077,7.78280543,2.782730627,4.181258276,0.669234915,WN,1.7,WN_WN,WN,WN,A,xfostered,23,2,9.6,5/22/21,15,R,1.22,x,-0.774,0.001,0.000240002,NA,Good,N,N,Inverted,0.1595,0.693,0.206,-0.0405,0.493,0.006,NA,0.068115234,N,0.00129199,Field L,Field L,Narrow,2.705882353,16.88155443
A2_FL_TRIAL2_B,3,A2,FL,2,B,A2,6,6.28959276,8.582928793,4.134312322,0.030417717,WN,1.7,WN_WN,WN,WN,A,xfostered,23,2,9.6,5/22/21,15,R,1.22,x,0.733,0.06,0.001020065,NA,Good,N,N,,0.101375,0.73575,0.20475,-0.098625,0.53575,0.00475,NA,0.100421328,N,0.081855389,Field L,Field L,Broad,0.28959276,90.11256936
A2_FL_TRIAL3_A,3,A2,FL,3,A,A2,1.4,3.176470588,1.505545305,2.256180371,1.091800848,WN,1.7,WN_WN,WN,WN,A,xfostered,23,2,9.6,5/22/21,15,R,1.38,x,0.692,-0.159,0.00018,NA,Good,N,Y,Trough before peak,0.138111111,0.356555556,0.231111111,-0.061888889,0.156555556,0.031111111,0.04,0.014369289,Y,0.229768786,Field L,Field L,Narrow,1.776470588,3.044844291
A2_FL_TRIAL4_A,3,A2,FL,4,A,A2,3.157894737,4.829721362,1.675415633,1.693315753,0.678542141,WN,1.7,WN_WN,WN,WN,A,xfostered,23,2,9.6,5/22/21,20,R,1.47,x,-0.755,0.29,0.000180001,NA,Good,N,N,Inverted,0.264666667,0.615083333,0.32275,0.064666667,0.415083333,0.12275,0.345,0.018540442,Y,0.38410596,Field L,Field L,Narrow,1.671826625,6.033988632
A2_FL_TRIAL5_A,3,A2,FL,5,A,A2,1.533333333,2.352941176,1.641718032,0.969122907,0.410812844,WN,1.7,WN_WN,WN,WN,A,xfostered,23,2,9.6,5/22/21,15,L,1.39,x,0.672,-0.201,0.000179998,NA,Good,N,N,Higher peak was after lower peak,0.076454545,0.829909091,0.115545455,-0.123545455,0.629909091,-0.084454545,0.385,0.221668335,N,0.299107143,Field L,Field L,Narrow,0.819607843,3.941161093
A2_FL_TRIAL5_B,3,A2,FL,5,B,A2,1.8,2.980392157,2.077085871,1.714505396,0.625594045,WN,1.7,WN_WN,WN,WN,A,xfostered,23,2,9.6,5/22/21,15,L,1.39,x,-0.85,0.357,0.000120009,NA,Good,N,N,Inverted,0.095363636,0.597363636,0.163181818,-0.104636364,0.397363636,-0.036818182,0.015,0.053329979,N,0.42,Field L,Field L,Narrow,1.180392157,3.774148404
A2_FL_TRIAL6_A,3,A2,FL,6,A,A2,6.923076923,3.393665158,5.235480533,2.391278923,-0.819599075,WN,1.7,WN_WN,WN,WN,A,xfostered,23,2,9.6,5/22/21,15,L,1.44,x,0.7,-0.042,0.001259771,NA,Good,N,N,,0.133636364,0.453727273,0.246272727,-0.066363636,0.253727273,0.046272727,NA,0.032714844,Y,0.06,Field L,Field L,Broad,-3.529411765,19.46978973
A2_FL_TRIAL6_B,3,A2,FL,6,B,A2,2.461538462,3.665158371,2.22168797,2.75021071,0.649089468,WN,1.7,WN_WN,WN,WN,A,xfostered,23,2,9.6,5/22/21,15,L,1.44,x,-0.865,0.114,0.001019992,NA,Good,N,N,Inverted,0.128,0.324363636,0.161545455,-0.072,0.124363636,-0.038454545,NA,0.065257257,N,0.131791908,Field L,Field L,Broad,1.203619909,4.061546652
