ID.x,Region,Trial,Letter,Stimulus,Unit2,StimSet,base_fr,stim_fr,basesd,stimsd,Z_score,stimID,Duration.s,Species,FamUnfam,Clutch,Treatment,Age,DaysPostFledge,Mass,Date,No_reps,Hemisphere,Depth,ISI.check,Peak_V,Trough_V,Peak.to.Peak_s,Type,Quality,Exclude4PC,TroughBeforePeak,Notes,Accuracy.rcorr,Accuracy.count,Accuracy.cross_corr,normal_rcorr,normal_count,normal_cross_corr,Latency,p.value,sigYN,Peak2PeakRatio
A2,FL,1,A,1,A2_FL_TRIAL1_A,A2,4.636363636,7.553475935,2.335496832,2.256548263,1.074639566,ALP47,1.36,ZEBI,Unfamiliar,A,xfostered,23,2,9.6,5/22/21,15,R,1.12,x,-0.979,0.39,0.000479999,NA,Good,Y,N,Inverted but beautiful,0.540222222,0.213444444,0.476888889,0.340222222,0.013444444,0.276888889,0.03,0.009765625,Y,0.398365679
A2,FL,1,A,2,A2_FL_TRIAL1_A,A2,3.333333333,4.806201551,2.188122206,1.448370129,0.614331459,DB22P31,2.15,BEFI,FosterFather,A,xfostered,23,2,9.6,5/22/21,15,R,1.12,x,-0.979,0.39,0.000479999,NA,Good,Y,N,Inverted but beautiful,0.318111111,0.421,0.379777778,0.118111111,0.221,0.179777778,NA,0.077442085,N,0.398365679
A2,FL,1,A,3,A2_FL_TRIAL1_A,A2,4.5,5.411764706,2.592724864,1.380926812,0.296352427,WN,1.7,WN,WN,A,xfostered,23,2,9.6,5/22/21,15,R,1.12,x,-0.979,0.39,0.000479999,NA,Good,Y,N,Inverted but beautiful,0.173777778,0.171444444,0.165777778,-0.026222222,-0.028555556,-0.034222222,0.01,0.385652987,N,0.398365679
A2,FL,1,A,4,A2_FL_TRIAL1_A,A2,3.846153846,5.338691159,2.511511957,2.235614512,0.526556025,BR90,1.34,BEFI,Unfamiliar,A,xfostered,23,2,9.6,5/22/21,15,R,1.12,x,-0.979,0.39,0.000479999,NA,Good,Y,N,Inverted but beautiful,0.273777778,0.319444444,0.305555556,0.073777778,0.119444444,0.105555556,0.115,0.167724609,N,0.398365679
A2,FL,1,A,5,A2_FL_TRIAL1_A,A2,4.7,6.341463415,2.830390629,1.099387648,0.603429957,P192P193,2.87,ZEBI,Father,A,xfostered,23,2,9.6,5/22/21,15,R,1.12,x,-0.979,0.39,0.000479999,NA,Good,Y,N,Inverted but beautiful,0.453333333,0.303555556,0.413111111,0.253333333,0.103555556,0.213111111,0.255,0.10546875,N,0.398365679
A2,FL,1,B,1,A2_FL_TRIAL1_B,A2,2.272727273,5.147058824,1.348399725,2.131084816,1.662983222,ALP47,1.36,ZEBI,Unfamiliar,A,xfostered,23,2,9.6,5/22/21,15,R,1.12,x,0.931,0,0.0032,NA,Bad,Y,N,ISI and PSTH look good but shape is gross; fat with no hyperpolarization,0.408777778,0.257555556,0.387222222,0.208777778,0.057555556,0.187222222,0.01,0.002929688,Y,0
A2,FL,1,B,2,A2_FL_TRIAL1_B,A2,1.5,4.186046512,1.445997611,1.206371469,1.597285011,DB22P31,2.15,BEFI,FosterFather,A,xfostered,23,2,9.6,5/22/21,15,R,1.12,x,0.931,0,0.0032,NA,Bad,Y,N,ISI and PSTH look good but shape is gross; fat with no hyperpolarization,0.473222222,0.29,0.497555556,0.273222222,0.09,0.297555556,0.01,0.002441406,Y,0
A2,FL,1,B,3,A2_FL_TRIAL1_B,A2,2.1,3.05882353,1.286683938,1.488130664,0.580848176,WN,1.7,WN,WN,A,xfostered,23,2,9.6,5/22/21,15,R,1.12,x,0.931,0,0.0032,NA,Bad,Y,N,ISI and PSTH look good but shape is gross; fat with no hyperpolarization,0.209111111,0.390777778,0.303555556,0.009111111,0.190777778,0.103555556,0.015,0.16015625,N,0
A2,FL,1,B,4,A2_FL_TRIAL1_B,A2,2.307692308,5.970149253,1.182131929,2.953816439,1.286853416,BR90,1.34,BEFI,Unfamiliar,A,xfostered,23,2,9.6,5/22/21,15,R,1.12,x,0.931,0,0.0032,NA,Bad,Y,N,ISI and PSTH look good but shape is gross; fat with no hyperpolarization,0.554333333,0.120222222,0.530777778,0.354333333,-0.079777778,0.330777778,0.025,0.004154489,Y,0
A2,FL,1,B,5,A2_FL_TRIAL1_B,A2,2.3,4.808362369,1.702938637,1.744481613,0.877708734,P192P193,2.87,ZEBI,Father,A,xfostered,23,2,9.6,5/22/21,15,R,1.12,x,0.931,0,0.0032,NA,Bad,Y,N,ISI and PSTH look good but shape is gross; fat with no hyperpolarization,0.462777778,0.387888889,0.468111111,0.262777778,0.187888889,0.268111111,0.23,0.037109375,Y,0
