Trialx,Treatment,Stimulus,Presentation,Period,base_fr,Unit2,stim_fr,ID,Region,Trial,Letter
1,NA,1???,1,Baseline,6,A2_FL_TRIAL1_A,9.558823529,A2,FL,TRIAL1,A
1,NA,1???,2,Baseline,5,A2_FL_TRIAL1_A,5.147058824,A2,FL,TRIAL1,A
1,NA,1???,3,Baseline,8,A2_FL_TRIAL1_A,11.02941176,A2,FL,TRIAL1,A
1,NA,1???,4,Baseline,5,A2_FL_TRIAL1_A,6.617647059,A2,FL,TRIAL1,A
1,NA,1???,5,Baseline,6,A2_FL_TRIAL1_A,2.941176471,A2,FL,TRIAL1,A
1,NA,1???,6,Baseline,8,A2_FL_TRIAL1_A,8.823529412,A2,FL,TRIAL1,A
1,NA,1???,7,Baseline,2,A2_FL_TRIAL1_A,6.617647059,A2,FL,TRIAL1,A
1,NA,1???,8,Baseline,4,A2_FL_TRIAL1_A,9.558823529,A2,FL,TRIAL1,A
1,NA,1???,9,Baseline,2,A2_FL_TRIAL1_A,7.352941176,A2,FL,TRIAL1,A
1,NA,1???,10,Baseline,1,A2_FL_TRIAL1_A,8.088235294,A2,FL,TRIAL1,A
1,NA,1???,11,Baseline,4,A2_FL_TRIAL1_A,7.352941176,A2,FL,TRIAL1,A
1,NA,2???,12,Baseline,6,A2_FL_TRIAL1_A,7.441860465,A2,FL,TRIAL1,A
1,NA,2???,13,Baseline,4,A2_FL_TRIAL1_A,4.186046512,A2,FL,TRIAL1,A
1,NA,2???,14,Baseline,2,A2_FL_TRIAL1_A,4.186046512,A2,FL,TRIAL1,A
1,NA,2???,15,Baseline,4,A2_FL_TRIAL1_A,4.186046512,A2,FL,TRIAL1,A
1,NA,2???,16,Baseline,7,A2_FL_TRIAL1_A,4.186046512,A2,FL,TRIAL1,A
1,NA,2???,17,Baseline,5,A2_FL_TRIAL1_A,3.720930233,A2,FL,TRIAL1,A
1,NA,2???,18,Baseline,1,A2_FL_TRIAL1_A,4.186046512,A2,FL,TRIAL1,A
1,NA,2???,19,Baseline,5,A2_FL_TRIAL1_A,6.046511628,A2,FL,TRIAL1,A
1,NA,2???,20,Baseline,1,A2_FL_TRIAL1_A,5.581395349,A2,FL,TRIAL1,A
1,NA,2???,21,Baseline,3,A2_FL_TRIAL1_A,2.325581395,A2,FL,TRIAL1,A
1,NA,2???,22,Baseline,2,A2_FL_TRIAL1_A,6.976744186,A2,FL,TRIAL1,A
1,NA,2???,23,Baseline,0,A2_FL_TRIAL1_A,4.651162791,A2,FL,TRIAL1,A
1,NA,3???,24,Baseline,5,A2_FL_TRIAL1_A,7.058823529,A2,FL,TRIAL1,A
1,NA,3???,25,Baseline,9,A2_FL_TRIAL1_A,3.529411765,A2,FL,TRIAL1,A
1,NA,3???,26,Baseline,4,A2_FL_TRIAL1_A,4.117647059,A2,FL,TRIAL1,A
1,NA,3???,27,Baseline,7,A2_FL_TRIAL1_A,5.294117647,A2,FL,TRIAL1,A
1,NA,3???,28,Baseline,5,A2_FL_TRIAL1_A,4.117647059,A2,FL,TRIAL1,A
1,NA,3???,29,Baseline,1,A2_FL_TRIAL1_A,5.882352941,A2,FL,TRIAL1,A
1,NA,3???,30,Baseline,2,A2_FL_TRIAL1_A,7.058823529,A2,FL,TRIAL1,A
1,NA,3???,31,Baseline,6,A2_FL_TRIAL1_A,5.882352941,A2,FL,TRIAL1,A
1,NA,3???,32,Baseline,5,A2_FL_TRIAL1_A,7.058823529,A2,FL,TRIAL1,A
1,NA,3???,33,Baseline,1,A2_FL_TRIAL1_A,4.117647059,A2,FL,TRIAL1,A
1,NA,4???,34,Baseline,3,A2_FL_TRIAL1_A,5.223880597,A2,FL,TRIAL1,A
1,NA,4???,35,Baseline,4,A2_FL_TRIAL1_A,3.731343284,A2,FL,TRIAL1,A
1,NA,4???,36,Baseline,2,A2_FL_TRIAL1_A,4.47761194,A2,FL,TRIAL1,A
1,NA,4???,37,Baseline,8,A2_FL_TRIAL1_A,4.47761194,A2,FL,TRIAL1,A
1,NA,4???,38,Baseline,3,A2_FL_TRIAL1_A,3.731343284,A2,FL,TRIAL1,A
1,NA,4???,39,Baseline,4,A2_FL_TRIAL1_A,4.47761194,A2,FL,TRIAL1,A
1,NA,4???,40,Baseline,1,A2_FL_TRIAL1_A,6.71641791,A2,FL,TRIAL1,A
1,NA,4???,41,Baseline,4,A2_FL_TRIAL1_A,10.44776119,A2,FL,TRIAL1,A
1,NA,4???,42,Baseline,4,A2_FL_TRIAL1_A,2.985074627,A2,FL,TRIAL1,A
1,NA,4???,43,Baseline,2,A2_FL_TRIAL1_A,7.462686567,A2,FL,TRIAL1,A
1,NA,4???,44,Baseline,7,A2_FL_TRIAL1_A,5.970149254,A2,FL,TRIAL1,A
1,NA,4???,45,Baseline,8,A2_FL_TRIAL1_A,7.462686567,A2,FL,TRIAL1,A
1,NA,4???,46,Baseline,0,A2_FL_TRIAL1_A,2.23880597,A2,FL,TRIAL1,A
1,NA,5???,47,Baseline,12,A2_FL_TRIAL1_A,6.271777003,A2,FL,TRIAL1,A
1,NA,5???,48,Baseline,3,A2_FL_TRIAL1_A,6.620209059,A2,FL,TRIAL1,A
1,NA,5???,49,Baseline,3,A2_FL_TRIAL1_A,5.574912892,A2,FL,TRIAL1,A
1,NA,5???,50,Baseline,5,A2_FL_TRIAL1_A,7.317073171,A2,FL,TRIAL1,A
1,NA,5???,51,Baseline,5,A2_FL_TRIAL1_A,7.665505226,A2,FL,TRIAL1,A
1,NA,5???,52,Baseline,3,A2_FL_TRIAL1_A,5.923344948,A2,FL,TRIAL1,A
1,NA,5???,53,Baseline,4,A2_FL_TRIAL1_A,6.271777003,A2,FL,TRIAL1,A
1,NA,5???,54,Baseline,2,A2_FL_TRIAL1_A,6.620209059,A2,FL,TRIAL1,A
1,NA,5???,55,Baseline,4,A2_FL_TRIAL1_A,3.832752613,A2,FL,TRIAL1,A
1,NA,5???,56,Baseline,6,A2_FL_TRIAL1_A,7.317073171,A2,FL,TRIAL1,A
1,NA,1???,1,Baseline,2,A2_FL_TRIAL1_B,8.088235294,A2,FL,TRIAL1,B
1,NA,1???,2,Baseline,4,A2_FL_TRIAL1_B,8.823529412,A2,FL,TRIAL1,B
1,NA,1???,3,Baseline,1,A2_FL_TRIAL1_B,5.147058824,A2,FL,TRIAL1,B
1,NA,1???,4,Baseline,0,A2_FL_TRIAL1_B,2.941176471,A2,FL,TRIAL1,B
1,NA,1???,5,Baseline,2,A2_FL_TRIAL1_B,2.205882353,A2,FL,TRIAL1,B
1,NA,1???,6,Baseline,4,A2_FL_TRIAL1_B,6.617647059,A2,FL,TRIAL1,B
1,NA,1???,7,Baseline,3,A2_FL_TRIAL1_B,5.882352941,A2,FL,TRIAL1,B
1,NA,1???,8,Baseline,4,A2_FL_TRIAL1_B,3.676470588,A2,FL,TRIAL1,B
1,NA,1???,9,Baseline,1,A2_FL_TRIAL1_B,3.676470588,A2,FL,TRIAL1,B
1,NA,1???,10,Baseline,2,A2_FL_TRIAL1_B,5.882352941,A2,FL,TRIAL1,B
1,NA,1???,11,Baseline,2,A2_FL_TRIAL1_B,3.676470588,A2,FL,TRIAL1,B
1,NA,2???,12,Baseline,2,A2_FL_TRIAL1_B,5.581395349,A2,FL,TRIAL1,B
1,NA,2???,13,Baseline,3,A2_FL_TRIAL1_B,5.11627907,A2,FL,TRIAL1,B
1,NA,2???,14,Baseline,2,A2_FL_TRIAL1_B,4.186046512,A2,FL,TRIAL1,B
1,NA,2???,15,Baseline,1,A2_FL_TRIAL1_B,6.046511628,A2,FL,TRIAL1,B
1,NA,2???,16,Baseline,0,A2_FL_TRIAL1_B,4.186046512,A2,FL,TRIAL1,B
1,NA,2???,17,Baseline,0,A2_FL_TRIAL1_B,2.790697674,A2,FL,TRIAL1,B
1,NA,2???,18,Baseline,0,A2_FL_TRIAL1_B,3.720930233,A2,FL,TRIAL1,B
1,NA,2???,19,Baseline,1,A2_FL_TRIAL1_B,1.860465116,A2,FL,TRIAL1,B
1,NA,2???,20,Baseline,2,A2_FL_TRIAL1_B,3.255813953,A2,FL,TRIAL1,B
1,NA,2???,21,Baseline,1,A2_FL_TRIAL1_B,5.11627907,A2,FL,TRIAL1,B
1,NA,2???,22,Baseline,5,A2_FL_TRIAL1_B,3.720930233,A2,FL,TRIAL1,B
1,NA,2???,23,Baseline,1,A2_FL_TRIAL1_B,4.651162791,A2,FL,TRIAL1,B
1,NA,3???,24,Baseline,3,A2_FL_TRIAL1_B,3.529411765,A2,FL,TRIAL1,B
1,NA,3???,25,Baseline,3,A2_FL_TRIAL1_B,4.117647059,A2,FL,TRIAL1,B
1,NA,3???,26,Baseline,1,A2_FL_TRIAL1_B,4.705882353,A2,FL,TRIAL1,B
1,NA,3???,27,Baseline,4,A2_FL_TRIAL1_B,3.529411765,A2,FL,TRIAL1,B
1,NA,3???,28,Baseline,2,A2_FL_TRIAL1_B,1.764705882,A2,FL,TRIAL1,B
1,NA,3???,29,Baseline,1,A2_FL_TRIAL1_B,2.941176471,A2,FL,TRIAL1,B
1,NA,3???,30,Baseline,0,A2_FL_TRIAL1_B,3.529411765,A2,FL,TRIAL1,B
1,NA,3???,31,Baseline,3,A2_FL_TRIAL1_B,4.705882353,A2,FL,TRIAL1,B
1,NA,3???,32,Baseline,3,A2_FL_TRIAL1_B,1.764705882,A2,FL,TRIAL1,B
1,NA,3???,33,Baseline,1,A2_FL_TRIAL1_B,0,A2,FL,TRIAL1,B
1,NA,4???,34,Baseline,3,A2_FL_TRIAL1_B,10.44776119,A2,FL,TRIAL1,B
1,NA,4???,35,Baseline,3,A2_FL_TRIAL1_B,11.19402985,A2,FL,TRIAL1,B
1,NA,4???,36,Baseline,4,A2_FL_TRIAL1_B,4.47761194,A2,FL,TRIAL1,B
1,NA,4???,37,Baseline,2,A2_FL_TRIAL1_B,8.955223881,A2,FL,TRIAL1,B
1,NA,4???,38,Baseline,3,A2_FL_TRIAL1_B,5.970149254,A2,FL,TRIAL1,B
1,NA,4???,39,Baseline,3,A2_FL_TRIAL1_B,7.462686567,A2,FL,TRIAL1,B
1,NA,4???,40,Baseline,3,A2_FL_TRIAL1_B,0.746268657,A2,FL,TRIAL1,B
1,NA,4???,41,Baseline,2,A2_FL_TRIAL1_B,5.970149254,A2,FL,TRIAL1,B
1,NA,4???,42,Baseline,0,A2_FL_TRIAL1_B,4.47761194,A2,FL,TRIAL1,B
1,NA,4???,43,Baseline,2,A2_FL_TRIAL1_B,2.985074627,A2,FL,TRIAL1,B
1,NA,4???,44,Baseline,0,A2_FL_TRIAL1_B,5.223880597,A2,FL,TRIAL1,B
1,NA,4???,45,Baseline,2,A2_FL_TRIAL1_B,3.731343284,A2,FL,TRIAL1,B
1,NA,4???,46,Baseline,3,A2_FL_TRIAL1_B,5.970149254,A2,FL,TRIAL1,B
1,NA,5???,47,Baseline,1,A2_FL_TRIAL1_B,7.665505226,A2,FL,TRIAL1,B
1,NA,5???,48,Baseline,4,A2_FL_TRIAL1_B,5.923344948,A2,FL,TRIAL1,B
1,NA,5???,49,Baseline,5,A2_FL_TRIAL1_B,4.529616725,A2,FL,TRIAL1,B
1,NA,5???,50,Baseline,4,A2_FL_TRIAL1_B,1.045296167,A2,FL,TRIAL1,B
1,NA,5???,51,Baseline,2,A2_FL_TRIAL1_B,4.529616725,A2,FL,TRIAL1,B
1,NA,5???,52,Baseline,0,A2_FL_TRIAL1_B,6.271777003,A2,FL,TRIAL1,B
1,NA,5???,53,Baseline,0,A2_FL_TRIAL1_B,4.87804878,A2,FL,TRIAL1,B
1,NA,5???,54,Baseline,2,A2_FL_TRIAL1_B,5.226480836,A2,FL,TRIAL1,B
1,NA,5???,55,Baseline,2,A2_FL_TRIAL1_B,3.832752613,A2,FL,TRIAL1,B
1,NA,5???,56,Baseline,3,A2_FL_TRIAL1_B,4.181184669,A2,FL,TRIAL1,B
