ID,Region,Trial,StimSet
A2,FL,TRIAL1,A2
A2,FL,TRIAL2,A2
A2,FL,TRIAL3,A2
A2,FL,TRIAL4,A2
A2,FL,TRIAL5,A2
A2,FL,TRIAL6,A2
A2,FL,TRIAL7,A2
A2,NCM,TRIAL1,A2
A2,NCM,TRIAL2,A2
A2,NCM,TRIAL3,A2
A2,NCM,TRIAL4,A2
A2,NCM,TRIAL6,A2
A2,NCM,TRIAL7,A2
A3,FL,TRIAL1,A3
A3,FL,TRIAL2,A3
A3,FL,TRIAL3,A3
A3,FL,TRIAL4,A3
A3,NCM,TRIAL1,A3
A3,NCM,TRIAL2,A3
A3,NCM,TRIAL3,A3
A3,NCM,TRIAL4,A3
A4,FL,TRIAL1,A4
A4,FL,TRIAL2,A4
A4,FL,TRIAL3,A4
A4,FL,TRIAL4,A4
A4,FL,TRIAL5,A4
A4,NCM,TRIAL1,A4
A4,NCM,TRIAL2,A4
A4,NCM,TRIAL3,A4
A4,NCM,TRIAL4,A4
A4,NCM,TRIAL5,A4
A5,FL,TRIAL1,A5
A5,FL,TRIAL2,A5
A5,NCM,TRIAL1,A5
A5,NCM,TRIAL2,A5
B3,NCM,TRIAL1,B3
B4,FL,TRIAL1,B4
B4,FL,TRIAL2,B4
B4,FL,TRIAL3,B4
B4,FL,TRIAL4,B4
B4,FL,TRIAL5,B4
B4,FL,TRIAL6,B4
C1,FL,TRIAL1,C1
C1,FL,TRIAL10,C12
C1,FL,TRIAL2,C1
C1,FL,TRIAL3,C1
C1,FL,TRIAL4,C1
C1,FL,TRIAL5,C1
C1,FL,TRIAL6,C1
C1,FL,TRIAL8,C12
C1,FL,TRIAL9,C12
C1,NCM,TRIAL1,C1
C1,NCM,TRIAL10,C12
C1,NCM,TRIAL2,C1
C1,NCM,TRIAL3,C1
C1,NCM,TRIAL6,C1
C1,NCM,TRIAL7,C1
C1,NCM,TRIAL8,C12
C1,NCM,TRIAL9,C12
C2,FL,TRIAL4,C2
C2,FL,TRIAL5,C2
C2,NCM,TRIAL1,C22
C2,NCM,TRIAL4,C2
C2,NCM,TRIAL5,C2
C4,FL,TRIAL3,C4
C4,FL,TRIAL4,C4
C4,FL,TRIAL5,C4
C4,FL,TRIAL6,C4
C4,FL,TRIAL7,C4
C4,FL,TRIAL8,C4
C4,FL,TRIAL9,C4
C4,NCM,TRIAL5,C4
C4,NCM,TRIAL6,C4
C4,NCM,TRIAL7,C4
C4,NCM,TRIAL8,C4
C4,NCM,TRIAL9,C4
D1,FL,TRIAL1,D1
D1,FL,TRIAL2,D1
D1,FL,TRIAL3,D1
D1,FL,TRIAL4,D1
D1,FL,TRIAL5,D1
D1,FL,TRIAL7,D1
D1,FL,TRIAL8,D1
D1,NCM,TRIAL1,D1
D1,NCM,TRIAL2,D1
D1,NCM,TRIAL3,D1
D1,NCM,TRIAL4,D1
D1,NCM,TRIAL5,D1
D1,NCM,TRIAL7,D1
D1,NCM,TRIAL8,D1
D4,FL,TRIAL1,D4
D4,FL,TRIAL10,D4
D4,FL,TRIAL11,D4
D4,FL,TRIAL2,D4
D4,FL,TRIAL3,D4
D4,FL,TRIAL4,D4
D4,FL,TRIAL6,D4
D4,FL,TRIAL7,D4
D4,FL,TRIAL8,D4
D4,FL,TRIAL9,D4
D4,NCM,TRIAL1,D4
D4,NCM,TRIAL10,D4
D4,NCM,TRIAL11,D4
D4,NCM,TRIAL2,D4
D4,NCM,TRIAL3,D4
D4,NCM,TRIAL4,D4
D4,NCM,TRIAL6,D4
D4,NCM,TRIAL7,D4
